Scenario,File size (GB),Type,Makespan
\textsc{PegDecaf},4,sleep,45.88
\textsc{PegDecaf},4,sleep,46.02
\textsc{PegDecaf},4,sleep,45.91
\textsc{PegDecaf},4,sleep,45.80
\textsc{PegDecaf},8,nosleep,66.40
\textsc{PegDecaf},8,nosleep,62.22
\textsc{PegDecaf},8,nosleep,61.70
\textsc{PegDecaf},8,nosleep,63.25
\textsc{PegDecaf},8,nosleep,62.73
\textsc{PegDecaf},8,nosleep,59.52
\textsc{PegDecaf},8,nosleep,61.84
\textsc{PegDecaf},8,nosleep,64.52
\textsc{PegDecaf},8,nosleep,61.68
\textsc{PegDecaf},8,nosleep,64.72
\textsc{PegDecaf},8,sleep,72.79
\textsc{PegDecaf},8,sleep,75.23
\textsc{PegDecaf},8,sleep,74.06
\textsc{PegDecaf},8,sleep,77.23
\textsc{PegDecaf},8,sleep,74.37
\textsc{PegDecaf},8,sleep,72.10
\textsc{PegDecaf},8,sleep,72.19
\textsc{PegDecaf},8,sleep,78.79
\textsc{PegDecaf},8,sleep,75.93
\textsc{PegDecaf},8,sleep,72.84
\textsc{Vanilla},16,nosleep,268.273
\textsc{Vanilla},16,nosleep,310.247
\textsc{Vanilla},16,nosleep,257.48
\textsc{Vanilla},16,nosleep,309.929
\textsc{Vanilla},16,nosleep,265.142
\textsc{Vanilla},16,nosleep,259.961
\textsc{Vanilla},16,nosleep,268.306
\textsc{Vanilla},16,nosleep,278.463
\textsc{Vanilla},16,nosleep,277.577
\textsc{Vanilla},16,nosleep,269.94
\textsc{Vanilla},16,sleep,422.347
\textsc{Vanilla},16,sleep,466.528
\textsc{Vanilla},16,sleep,430.55
\textsc{Vanilla},16,sleep,434.627
\textsc{Vanilla},16,sleep,418.706
\textsc{Vanilla},16,sleep,453.542
\textsc{Vanilla},16,sleep,443.086
\textsc{Vanilla},16,sleep,462.373
\textsc{Vanilla},16,sleep,494.253
\textsc{Vanilla},16,sleep,456.47
\textsc{Vanilla},1,nosleep,12.836
\textsc{Vanilla},1,nosleep,14.23
\textsc{Vanilla},1,nosleep,13.618
\textsc{Vanilla},1,nosleep,13.931
\textsc{Vanilla},1,nosleep,14.339
\textsc{Vanilla},1,nosleep,13.356
\textsc{Vanilla},1,nosleep,16.656
\textsc{Vanilla},1,nosleep,13.643
\textsc{Vanilla},1,nosleep,13.772
\textsc{Vanilla},1,nosleep,12.659
\textsc{Vanilla},1,nosleep,12.836
\textsc{Vanilla},1,nosleep,13.114
\textsc{Vanilla},1,nosleep,15.226
\textsc{Vanilla},1,nosleep,13.428
\textsc{Vanilla},1,nosleep,14.02
\textsc{Vanilla},1,nosleep,14.441
\textsc{Vanilla},1,nosleep,18.322
\textsc{Vanilla},1,nosleep,13.947
\textsc{Vanilla},1,nosleep,17.005
\textsc{Vanilla},1,sleep,27.01
\textsc{Vanilla},1,sleep,28.82
\textsc{Vanilla},1,sleep,23.731
\textsc{Vanilla},1,sleep,23.36
\textsc{Vanilla},1,sleep,23.998
\textsc{Vanilla},1,sleep,24.532
\textsc{Vanilla},1,sleep,23.396
\textsc{Vanilla},1,sleep,23.218
\textsc{Vanilla},1,sleep,23.454
\textsc{Vanilla},1,sleep,23.474
\textsc{Vanilla},1,sleep,23.518
\textsc{Vanilla},1,sleep,31.064
\textsc{Vanilla},1,sleep,23.178
\textsc{Vanilla},1,sleep,29.119
\textsc{Vanilla},1,sleep,30.955
\textsc{Vanilla},1,sleep,29.321
\textsc{Vanilla},1,sleep,26.593
\textsc{Vanilla},1,sleep,27.134
\textsc{Vanilla},1,sleep,27.626
\textsc{Vanilla},1,sleep,29.244
\textsc{Vanilla},2,nosleep,30.692
\textsc{Vanilla},2,nosleep,27.533
\textsc{Vanilla},2,nosleep,32.505
\textsc{Vanilla},2,nosleep,30.197
\textsc{Vanilla},2,nosleep,24.509
\textsc{Vanilla},2,nosleep,27.545
\textsc{Vanilla},2,nosleep,25.724
\textsc{Vanilla},2,nosleep,24.596
\textsc{Vanilla},2,nosleep,28.617
\textsc{Vanilla},2,nosleep,31.987
\textsc{Vanilla},2,sleep,48.04
\textsc{Vanilla},2,sleep,46.518
\textsc{Vanilla},2,sleep,48.583
\textsc{Vanilla},2,sleep,46.126
\textsc{Vanilla},2,sleep,46.047
\textsc{Vanilla},2,sleep,45.846
\textsc{Vanilla},2,sleep,46.145
\textsc{Vanilla},2,sleep,46.59
\textsc{Vanilla},2,sleep,47.618
\textsc{Vanilla},2,sleep,45.596
\textsc{Vanilla},4,nosleep,49.795
\textsc{Vanilla},4,nosleep,50.331
\textsc{Vanilla},4,nosleep,52.262
\textsc{Vanilla},4,nosleep,50.562
\textsc{Vanilla},4,nosleep,51.206
\textsc{Vanilla},4,nosleep,50.278
\textsc{Vanilla},4,nosleep,52.186
\textsc{Vanilla},4,nosleep,48.378
\textsc{Vanilla},4,nosleep,50.478
\textsc{Vanilla},4,nosleep,49.455
\textsc{Vanilla},4,sleep,95.927
\textsc{Vanilla},4,sleep,103.407
\textsc{Vanilla},4,sleep,100.323
\textsc{Vanilla},4,sleep,95.292
\textsc{Vanilla},4,sleep,104.149
\textsc{Vanilla},4,sleep,99.234
\textsc{Vanilla},4,sleep,96.506
\textsc{Vanilla},4,sleep,95.06
\textsc{Vanilla},4,sleep,97.865
\textsc{Vanilla},4,sleep,103.326
\textsc{Vanilla},8,nosleep,124.992
\textsc{Vanilla},8,nosleep,128.797
\textsc{Vanilla},8,nosleep,118.33
\textsc{Vanilla},8,nosleep,114.504
\textsc{Vanilla},8,nosleep,118.864
\textsc{Vanilla},8,nosleep,125.655
\textsc{Vanilla},8,nosleep,128.622
\textsc{Vanilla},8,nosleep,138.527
\textsc{Vanilla},8,nosleep,135.376
\textsc{Vanilla},8,nosleep,117.48
\textsc{Vanilla},8,sleep,197.106
\textsc{Vanilla},8,sleep,201.846
\textsc{Vanilla},8,sleep,204.136
\textsc{Vanilla},8,sleep,210.071
\textsc{Vanilla},8,sleep,207.509
\textsc{Vanilla},8,sleep,204.191
\textsc{Vanilla},8,sleep,204.725
\textsc{Vanilla},8,sleep,205.677
\textsc{Vanilla},8,sleep,204.195
\textsc{Vanilla},8,sleep,212.324
\textsc{PMC},16,nosleep,220.917874
\textsc{PMC},16,nosleep,211.879358
\textsc{PMC},16,nosleep,241.889017
\textsc{PMC},16,nosleep,245.983704
\textsc{PMC},16,nosleep,248.711046
\textsc{PMC},16,nosleep,254.869355
\textsc{PMC},16,nosleep,263.983772
\textsc{PMC},16,nosleep,222.308615
\textsc{PMC},16,nosleep,259.821747
\textsc{PMC},16,nosleep,227.273583
\textsc{PMC},16,sleep,404.995808
\textsc{PMC},16,sleep,421.372746
\textsc{PMC},16,sleep,393.414272
\textsc{PMC},16,sleep,399.091851
\textsc{PMC},16,sleep,387.465861
\textsc{PMC},16,sleep,409.441989
\textsc{PMC},16,sleep,360.089936
\textsc{PMC},16,sleep,384.462025
\textsc{PMC},16,sleep,376.536639
\textsc{PMC},16,sleep,396.773181
\textsc{PMC},1,nosleep,14.450800
\textsc{PMC},1,nosleep,13.620334
\textsc{PMC},1,nosleep,14.859822
\textsc{PMC},1,nosleep,16.306482
\textsc{PMC},1,nosleep,13.690605
\textsc{PMC},1,nosleep,14.324681
\textsc{PMC},1,nosleep,15.432107
\textsc{PMC},1,nosleep,11.743879
\textsc{PMC},1,nosleep,13.599785
\textsc{PMC},1,nosleep,17.372454
\textsc{PMC},1,sleep,22.799412
\textsc{PMC},1,sleep,21.339227
\textsc{PMC},1,sleep,26.813252
\textsc{PMC},1,sleep,22.409704
\textsc{PMC},1,sleep,24.594980
\textsc{PMC},1,sleep,22.527797
\textsc{PMC},1,sleep,22.502859
\textsc{PMC},1,sleep,25.232423
\textsc{PMC},1,sleep,22.748888
\textsc{PMC},1,sleep,22.606192
\textsc{PMC},2,nosleep,30.272091
\textsc{PMC},2,nosleep,29.082021
\textsc{PMC},2,nosleep,33.225809
\textsc{PMC},2,nosleep,33.428532
\textsc{PMC},2,nosleep,27.969635
\textsc{PMC},2,nosleep,31.768915
\textsc{PMC},2,nosleep,46.395593
\textsc{PMC},2,nosleep,32.179079
\textsc{PMC},2,nosleep,28.456044
\textsc{PMC},2,nosleep,25.451021
\textsc{PMC},2,sleep,46.765596
\textsc{PMC},2,sleep,48.260584
\textsc{PMC},2,sleep,45.973272
\textsc{PMC},2,sleep,49.785636
\textsc{PMC},2,sleep,54.115434
\textsc{PMC},2,sleep,50.275403
\textsc{PMC},2,sleep,47.917360
\textsc{PMC},2,sleep,47.295461
\textsc{PMC},2,sleep,45.444263
\textsc{PMC},2,sleep,49.696693
\textsc{PMC},4,nosleep,73.832228
\textsc{PMC},4,nosleep,49.824171
\textsc{PMC},4,nosleep,65.833475
\textsc{PMC},4,nosleep,54.342712
\textsc{PMC},4,nosleep,50.365235
\textsc{PMC},4,nosleep,48.224372
\textsc{PMC},4,nosleep,59.765860
\textsc{PMC},4,nosleep,47.772995
\textsc{PMC},4,nosleep,48.388361
\textsc{PMC},4,nosleep,56.356725
\textsc{PMC},4,sleep,96.301690
\textsc{PMC},4,sleep,89.323620
\textsc{PMC},4,sleep,96.725967
\textsc{PMC},4,sleep,103.401979
\textsc{PMC},4,sleep,100.380506
\textsc{PMC},4,sleep,105.813281
\textsc{PMC},4,sleep,116.051833
\textsc{PMC},4,sleep,99.259009
\textsc{PMC},4,sleep,115.448609
\textsc{PMC},4,sleep,93.788372
\textsc{PMC},8,nosleep,99.472463
\textsc{PMC},8,nosleep,112.441075
\textsc{PMC},8,nosleep,112.038533
\textsc{PMC},8,nosleep,107.538160
\textsc{PMC},8,nosleep,96.930491
\textsc{PMC},8,nosleep,117.969941
\textsc{PMC},8,nosleep,115.971859
\textsc{PMC},8,nosleep,116.917599
\textsc{PMC},8,nosleep,110.247238
\textsc{PMC},8,nosleep,105.924181
\textsc{PMC},8,sleep,167.376501
\textsc{PMC},8,sleep,201.968495
\textsc{PMC},8,sleep,264.063135
\textsc{PMC},8,sleep,182.934756
\textsc{PMC},8,sleep,178.496849
\textsc{PMC},8,sleep,187.506007
\textsc{PMC},8,sleep,189.464093
\textsc{PMC},8,sleep,188.485512
\textsc{PMC},8,sleep,185.876696
\textsc{PMC},8,sleep,167.899642
